,CORN,CORN,CORN,CORN,CORN,DBB,DBB,DBB,DBB,DBB,DBC,DBC,DBC,DBC,DBC,GLD,GLD,GLD,GLD,GLD,GSG,GSG,GSG,GSG,GSG,SLV,SLV,SLV,SLV,SLV,SOYB,SOYB,SOYB,SOYB,SOYB,UNL,UNL,UNL,UNL,UNL,USL,USL,USL,USL,USL
,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-01-02 00:00:00-05:00,,,,,,22.2,22.51,22.08,22.3,22200.0,32.06,32.45,31.77,31.93,720900.0,83.56,85.14,83.44,84.84,11975400,53.75,54.9,53.5,54.66,361100.0,14.856,15.184,14.856,15.175,6648000,,,,,,,,,,,55.39,56.13,55.25,56.13,3900.0
2008-01-03 00:00:00-05:00,,,,,,22.65,23.39,22.65,23.38,36400.0,31.79,32.3,31.79,32.17,1101930.0,84.87,85.94,84.6,85.53,9079600,54.64,55.15,54.32,54.66,162200.0,15.099,15.3,15.015,15.285,5489000,,,,,,,,,,,56.08,56.26,55.9,56.26,15600.0
2008-01-04 00:00:00-05:00,,,,,,23.19,23.19,22.77,22.82,103400.0,32.57,32.57,32.08,32.46,571300.0,85.38,85.55,84.43,85.11,7676100,54.4,54.4,53.73,54.3,179200.0,15.251,15.265,15.014,15.167,4038000,,,,,,,,,,,55.85,55.85,55.35,55.61,22700.0
2008-01-07 00:00:00-05:00,,,,,,22.79,22.93,22.66,22.93,40200.0,32.23,32.44,31.66,31.85,659500.0,85.24,85.26,84.57,84.77,6331500,54.05,54.05,52.64,52.8,188000.0,15.161,15.234,14.967,15.035,5129000,,,,,,,,,,,55.42,55.42,54.1,54.1,19800.0
2008-01-08 00:00:00-05:00,,,,,,23.2,23.81,23.2,23.75,72000.0,32.3,32.49,31.63,31.66,423660.0,86.25,87.13,86.16,86.77,8969400,53.81,54.16,53.49,53.7,339100.0,15.32,15.627,15.32,15.605,6057000,,,,,,,,,,,54.84,54.84,54.84,54.84,1000.0
2008-01-09 00:00:00-05:00,,,,,,23.5,23.54,23.11,23.21,71700.0,31.83,32.37,31.51,31.9,788400.0,86.51,87.2,85.72,86.54,8472200,53.71,54.23,53.07,53.34,196500.0,15.522,15.731,15.437,15.519,10579000,,,,,,,,,,,54.59,55.2,53.92,54.06,2900.0
2008-01-10 00:00:00-05:00,,,,,,22.93,23.23,22.68,23.16,32400.0,31.65,31.76,31.4,31.62,450700.0,86.42,88.46,86.41,88.24,12005900,52.7,52.96,52.34,52.76,75100.0,15.411,16.132,15.411,16.061,7613000,,,,,,,,,,,53.14,53.43,53.07,53.37,9100.0
2008-01-11 00:00:00-05:00,,,,,,22.73,23.14,22.65,22.98,22800.0,31.66,31.83,31.21,31.54,670080.0,87.98,88.76,87.85,88.56,6636300,52.51,52.73,52.02,52.65,86200.0,15.945,16.184,15.817,16.107,5391000,,,,,,,,,,,52.79,53.15,52.68,53.15,13700.0
2008-01-14 00:00:00-05:00,,,,,,22.98,23.48,22.98,23.28,45900.0,31.9,32.0,31.69,31.91,836850.0,89.45,89.94,89.0,89.54,9529200,52.82,53.3,52.73,53.0,211500.0,16.155,16.445,16.096,16.275,8180000,,,,,,,,,,,53.35,53.47,53.13,53.47,8600.0
2008-01-15 00:00:00-05:00,,,,,,22.79,22.92,22.46,22.63,30100.0,31.67,31.74,31.27,31.51,477010.0,89.53,90.35,87.91,88.0,23391800,52.57,52.57,51.89,52.39,140600.0,16.188,16.356,15.806,15.895,9016000,,,,,,,,,,,52.51,52.51,52.12,52.33,7200.0
2008-01-16 00:00:00-05:00,,,,,,22.58,22.58,22.1,22.14,29100.0,31.33,31.72,30.72,31.69,1038040.0,88.18,88.66,86.32,86.69,26007200,51.97,51.97,50.89,51.34,228500.0,15.866,16.043,15.583,15.654,8006000,,,,,,,,,,,51.49,51.49,51.37,51.37,200.0
2008-01-17 00:00:00-05:00,,,,,,22.34,22.52,22.04,22.04,39700.0,31.9,31.95,31.38,31.46,681500.0,87.48,87.98,86.47,86.54,12687800,51.88,52.15,51.07,51.09,150800.0,15.899,15.964,15.655,15.717,7631000,,,,,,,,,,,52.23,52.23,51.75,51.75,300.0
2008-01-18 00:00:00-05:00,,,,,,22.38,22.69,22.18,22.65,68113.0,31.49,31.64,31.35,31.61,448100.0,87.18,87.46,86.51,87.42,8578384,51.73,51.85,51.13,51.45,100012.0,16.099,16.13,15.843,16.078,6217000,,,,,,,,,,,51.61,51.61,51.61,51.61,200.0
2008-01-22 00:00:00-05:00,,,,,,20.86,22.44,20.86,22.32,56396.0,30.68,31.49,30.33,31.4,763200.0,86.11,88.44,85.77,88.23,19141152,50.02,51.22,49.96,50.52,299278.0,15.5,16.085,15.442,15.963,10686000,,,,,,,,,,,50.19,51.19,50.19,51.19,1300.0
2008-01-23 00:00:00-05:00,,,,,,21.92,22.14,21.6,21.7,206851.0,31.07,31.19,30.14,30.24,680990.0,87.16,88.67,86.73,87.88,13067668,49.58,50.44,49.45,49.94,237333.0,15.722,16.055,15.622,15.92,7201000,,,,,,,,,,,,,,,
2008-01-24 00:00:00-05:00,,,,,,22.31,22.37,22.13,22.16,26400.0,30.38,31.04,30.38,30.97,714820.0,89.71,90.25,89.13,90.08,9926136,50.46,51.09,50.15,50.74,115580.0,16.39,16.39,16.024,16.283,9778000,,,,,,,,,,,50.44,50.44,50.41,50.41,200.0
2008-01-25 00:00:00-05:00,,,,,,22.48,22.59,22.3,22.4,23600.0,31.49,32.09,31.23,31.68,800310.0,90.81,91.08,89.5,90.3,8940026,51.79,51.97,51.4,51.79,93364.0,16.34,16.399,16.179,16.298,5234000,,,,,,,,,,,52.32,52.32,52.32,52.32,100.0
2008-01-28 00:00:00-05:00,,,,,,22.47,22.57,22.12,22.53,18300.0,31.32,32.34,31.12,32.34,590730.0,90.93,91.84,90.75,91.77,8266241,51.41,52.22,51.0,52.14,248013.0,16.382,16.608,16.311,16.606,8605000,,,,,,,,,,,51.9,52.72,51.9,52.65,500.0
2008-01-29 00:00:00-05:00,,,,,,23.31,23.44,23.0,23.43,39900.0,32.51,32.54,32.26,32.49,462400.0,91.33,91.72,90.81,91.12,8592190,52.31,52.55,52.04,52.51,306300.0,16.586,16.652,16.386,16.534,7196000,,,,,,,,,,,53.01,53.01,53.01,53.01,100.0
2008-01-30 00:00:00-05:00,,,,,,23.22,23.22,23.01,23.15,17700.0,32.56,32.56,32.14,32.36,560300.0,90.7,92.58,90.45,92.14,13760405,52.74,52.74,52.12,52.51,167300.0,16.55,16.8,16.466,16.678,7367000,,,,,,,,,,,52.79,53.26,52.79,53.04,3600.0
2008-01-31 00:00:00-05:00,,,,,,23.37,24.2,23.36,24.17,125345.0,32.22,32.64,31.92,32.41,666200.0,90.9,91.66,90.74,91.41,7331269,52.06,52.8,51.33,52.5,64600.0,16.685,16.904,16.56,16.816,7795000,,,,,,,,,,,52.3,52.3,52.3,52.3,100.0
2008-02-01 00:00:00-05:00,,,,,,23.77,24.09,23.53,23.8,125637.0,32.55,32.55,31.37,31.41,646680.0,91.73,91.87,89.22,89.3,19089586,52.3,52.3,51.09,51.37,159891.0,17.029,17.037,16.528,16.619,14389000,,,,,,,,,,,51.97,51.97,51.92,51.92,8000.0
2008-02-04 00:00:00-05:00,,,,,,23.71,23.96,23.54,23.91,82695.0,31.59,32.01,31.51,31.97,698530.0,88.51,89.52,88.05,89.11,9783674,51.6,52.3,51.22,52.0,91800.0,16.378,16.65,16.253,16.515,5108000,,,,,,,,,,,52.3,52.3,52.3,52.3,500.0
2008-02-05 00:00:00-05:00,,,,,,23.57,23.57,22.93,23.11,87600.0,31.69,31.82,31.42,31.7,798830.0,87.9,88.69,87.3,87.67,10454583,51.35,51.59,51.04,51.38,84100.0,16.264,16.386,16.11,16.167,5943000,,,,,,,,,,,51.44,51.44,50.95,51.35,8100.0
2008-02-06 00:00:00-05:00,,,,,,23.41,23.55,23.29,23.5,103900.0,31.82,32.37,31.66,32.08,862730.0,88.99,89.65,88.75,88.89,8357661,51.66,51.94,51.1,51.24,183743.0,16.482,16.513,16.329,16.374,3603000,,,,,,,,,,,51.61,51.62,50.87,50.97,10000.0
2008-02-07 00:00:00-05:00,,,,,,23.37,23.95,23.26,23.73,25700.0,31.94,32.43,31.94,32.42,852100.0,88.95,89.94,88.81,89.85,8013742,51.0,51.81,50.97,51.64,77175.0,16.521,16.705,16.439,16.67,5809000,,,,,,,,,,,50.29,52.3,50.29,52.3,4100.0
2008-02-08 00:00:00-05:00,,,,,,24.15,24.48,23.63,24.29,114400.0,32.72,33.41,32.2,33.37,1073380.0,89.99,90.97,89.99,90.95,8617042,52.16,53.77,52.16,53.62,206900.0,16.791,17.033,16.791,17.019,7407000,,,,,,,,,,,51.88,52.67,51.88,52.67,1300.0
2008-02-11 00:00:00-05:00,,,,,,24.33,24.33,24.06,24.24,32900.0,33.29,33.6,32.89,33.09,1234800.0,90.99,91.46,90.44,91.3,6604124,53.9,55.0,53.42,54.13,119783.0,17.109,17.4,16.975,17.39,7911000,,,,,,,,,,,53.02,54.35,52.8,54.35,1000.0
2008-02-12 00:00:00-05:00,,,,,,24.02,24.37,24.02,24.35,83200.0,32.86,33.5,32.62,32.95,759840.0,90.83,91.4,89.1,89.32,10059487,53.87,54.23,53.42,53.5,178500.0,17.393,17.446,16.98,17.033,7220000,,,,,,,,,,,53.85,54.06,53.85,54.0,5400.0
2008-02-13 00:00:00-05:00,,,,,,23.98,24.76,23.91,24.34,60169.0,32.86,33.11,32.67,33.08,390500.0,88.94,89.99,88.67,89.41,9811299,53.1,53.95,53.08,53.78,167100.0,16.915,17.244,16.867,17.132,4514000,,,,,,,,,,,53.36,54.18,53.36,54.0,6700.0
2008-02-14 00:00:00-05:00,,,,,,23.95,23.98,23.39,23.48,68650.0,33.65,33.86,33.08,33.84,1019450.0,89.37,90.11,89.35,89.69,6742569,54.39,55.22,54.25,54.85,408500.0,17.101,17.288,17.034,17.087,5333000,,,,,,,,,,,55.27,55.27,55.27,55.27,100.0
2008-02-15 00:00:00-05:00,,,,,,23.66,23.79,23.38,23.67,129220.0,33.94,34.15,33.51,33.77,984700.0,90.3,90.32,88.63,89.15,5479453,55.36,55.49,54.51,55.01,189600.0,17.336,17.338,16.804,16.952,4650000,,,,,,,,,,,55.54,55.56,55.54,55.56,800.0
