,HYG,HYG,HYG,HYG,HYG,LQD,LQD,LQD,LQD,LQD
,open,high,low,close,volume,open,high,low,close,volume
time,,,,,,,,,,
2008-01-02 00:00:00-05:00,99.56,100.9,99.3,99.5,61800,105.26,106.22,105.06,106.03,468377
2008-01-03 00:00:00-05:00,99.6,99.95,99.26,99.5,62314,105.36,106.04,105.36,105.91,150695
2008-01-04 00:00:00-05:00,100.01,100.05,98.84,98.85,46350,106.29,106.61,106.11,106.5,135286
2008-01-07 00:00:00-05:00,99.49,99.49,98.3,98.3,133005,106.55,106.71,106.25,106.66,148029
2008-01-08 00:00:00-05:00,99.49,99.49,98.0,98.04,42050,106.54,106.61,105.99,106.28,126675
2008-01-09 00:00:00-05:00,98.49,98.49,96.93,96.97,51600,105.89,106.5,105.86,106.03,138844
2008-01-10 00:00:00-05:00,97.17,98.17,96.95,97.68,154700,106.06,106.17,105.59,105.74,388222
2008-01-11 00:00:00-05:00,97.84,98.5,97.31,97.9,71021,105.75,106.54,105.75,106.51,98800
2008-01-14 00:00:00-05:00,97.64,98.03,97.3756,97.56,20715,106.11,106.56,104.98,106.07,335000
2008-01-15 00:00:00-05:00,97.95,97.95,97.6,97.81,19964,106.12,106.79,106.07,106.64,158885
2008-01-16 00:00:00-05:00,97.84,97.9,97.41,97.7,20700,106.62,107.1,106.11,106.48,172537
2008-01-17 00:00:00-05:00,97.5,97.5,97.01,97.01,31600,106.21,106.95,106.06,106.95,151044
2008-01-18 00:00:00-05:00,97.47,98.95,97.03,97.77,84500,106.23,107.68,106.23,106.8,195513
2008-01-22 00:00:00-05:00,96.7,97.86,93.3,97.09,191900,106.98,107.27,106.16,107.03,259732
2008-01-23 00:00:00-05:00,96.84,97.29,95.02,97.28,59341,107.82,108.26,106.89,107.25,436909
2008-01-24 00:00:00-05:00,97.26,98.5,96.88,98.5,62622,106.72,107.0,106.26,106.26,259476
2008-01-25 00:00:00-05:00,98.11,99.5,97.06,98.65,43700,105.91,107.5,105.83,107.41,159194
2008-01-28 00:00:00-05:00,98.5,98.5,97.5,98.1,44700,106.72,107.65,106.55,107.38,270396
2008-01-29 00:00:00-05:00,97.78,98.35,97.78,98.3,39200,107.34,107.34,106.75,106.81,151107
2008-01-30 00:00:00-05:00,98.42,98.74,97.93,98.68,27414,106.62,107.26,106.62,107.07,146756
2008-01-31 00:00:00-05:00,98.14,98.88,97.75,98.88,74358,107.4,107.6,106.94,107.5,161680
2008-02-01 00:00:00-05:00,98.44,98.5,97.0,98.28,82050,107.67,107.68,107.0,107.49,186911
2008-02-04 00:00:00-05:00,97.25,98.38,97.25,98.29,44863,107.14,107.35,107.0,107.2,151328
2008-02-05 00:00:00-05:00,97.79,97.79,97.0,97.5,66272,107.89,107.89,107.23,107.5,211539
2008-02-06 00:00:00-05:00,97.68,97.71,97.18,97.19,100976,107.45,107.48,106.81,106.99,215000
2008-02-07 00:00:00-05:00,96.9,97.3,96.0,96.89,58096,107.0,107.06,105.5,105.76,206304
2008-02-08 00:00:00-05:00,96.5,96.5,96.0,96.17,80272,106.25,106.38,105.82,106.16,209951
2008-02-11 00:00:00-05:00,95.26,96.21,95.26,95.4,74412,106.65,106.97,106.09,106.48,145633
2008-02-12 00:00:00-05:00,95.25,96.29,95.25,95.76,85061,106.46,106.46,105.73,106.33,270211
2008-02-13 00:00:00-05:00,95.99,96.06,95.51,95.51,60679,105.98,106.21,105.25,105.26,200534
2008-02-14 00:00:00-05:00,96.57,96.57,95.45,95.98,48135,105.51,105.62,104.74,105.03,172670
2008-02-15 00:00:00-05:00,95.75,95.75,95.35,95.74,49700,105.56,105.56,104.99,105.37,179148
2008-02-19 00:00:00-05:00,95.75,96.0,95.0,95.25,101964,104.88,105.21,104.2,104.33,220723
2008-02-20 00:00:00-05:00,95.84,95.84,95.03,95.5,65791,104.16,104.61,104.01,104.56,149672
2008-02-21 00:00:00-05:00,95.9,96.0,95.5,95.83,55776,104.84,105.37,104.6,105.28,264421
2008-02-22 00:00:00-05:00,95.94,96.08,95.65,95.75,47445,105.23,105.39,104.48,104.87,233623
2008-02-25 00:00:00-05:00,95.8,96.43,95.71,96.29,80700,104.85,104.92,104.23,104.41,194022
2008-02-26 00:00:00-05:00,96.3,96.95,96.2,96.91,80114,104.58,104.83,104.2,104.74,235169
2008-02-27 00:00:00-05:00,96.97,96.98,96.49,96.89,75853,104.98,105.23,104.32,104.67,286720
2008-02-28 00:00:00-05:00,96.5,96.93,95.69,96.75,61181,105.35,105.68,105.01,105.61,211984
2008-02-29 00:00:00-05:00,96.38,96.46,95.69,96.38,72887,106.0,106.23,105.51,106.21,211702
2008-03-03 00:00:00-05:00,96.19,96.19,95.5,95.79,53420,106.2,106.37,105.31,105.83,571017
2008-03-04 00:00:00-05:00,95.8,95.95,95.51,95.68,29854,105.83,106.02,104.86,105.21,335818
2008-03-05 00:00:00-05:00,95.5,96.0,95.5,95.94,73183,105.08,105.08,104.21,104.47,390843
2008-03-06 00:00:00-05:00,95.94,95.94,95.5,95.78,20859,104.64,104.86,104.19,104.33,151144
2008-03-07 00:00:00-05:00,95.24,95.5,95.23,95.36,44255,104.48,104.84,103.69,104.1,267806
2008-03-10 00:00:00-04:00,95.46,95.55,95.25,95.28,26788,104.4,104.51,103.72,104.09,139556
2008-03-11 00:00:00-04:00,95.14,95.7,95.05,95.52,36197,103.36,104.0,102.91,103.25,149556
2008-03-12 00:00:00-04:00,95.26,95.51,95.25,95.5,53243,103.12,104.25,102.77,104.06,524743
2008-03-13 00:00:00-04:00,95.22,95.22,93.8,94.83,80007,103.9,104.08,102.8,103.01,376386
2008-03-14 00:00:00-04:00,94.83,95.0,94.05,94.4,37201,103.54,103.89,102.71,102.95,96351
2008-03-17 00:00:00-04:00,94.03,94.03,93.3,93.81,54572,104.0,105.0,103.48,103.79,139109
2008-03-18 00:00:00-04:00,94.46,96.99,94.29,95.2,45740,103.5,104.14,103.04,103.68,101013
2008-03-19 00:00:00-04:00,95.46,95.58,95.2,95.3,73600,104.12,104.44,103.87,104.23,183178
