,EEM,EEM,EEM,EEM,EEM,EPI,EPI,EPI,EPI,EPI,EWW,EWW,EWW,EWW,EWW,EWY,EWY,EWY,EWY,EWY,EWZ,EWZ,EWZ,EWZ,EWZ,FXI,FXI,FXI,FXI,FXI,RSX,RSX,RSX,RSX,RSX
,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-01-02 00:00:00-05:00,13.66,50.203,13.263,13.353,135382380,,,,,,56.12,56.66,54.53,54.63,6307746.0,64.0,64.3,61.44,62.34,3982260.0,82.0,82.1,80.11,80.86,14388445,57.247,57.62,55.733,56.037,15267060,42.86,43.33,42.54,43.07,799217
2008-01-03 00:00:00-05:00,13.517,13.58,13.427,13.473,154777641,,,,,,54.96,55.81,54.6,55.24,2677406.0,63.0,64.0,62.79,62.9,3345763.0,81.01,81.69,80.7,80.9,7279415,55.767,56.453,55.467,55.647,13011506,43.64,43.71,43.24,43.44,587305
2008-01-04 00:00:00-05:00,13.36,48.46,13.023,48.217,207042127,,,,,,54.38,54.5,53.35,53.4,5878356.0,62.78,62.78,60.46,60.98,4455319.0,79.5,79.61,77.08,77.97,12807914,55.997,55.997,54.377,54.53,21384279,43.33,43.36,42.33,42.48,409101
2008-01-07 00:00:00-05:00,48.623,48.933,13.023,13.163,86060487,,,,,,53.67,54.0,52.68,53.6,3734427.0,61.7,62.39,60.73,61.7,2666641.0,77.92,78.4,75.35,77.15,15712071,55.79,56.263,54.69,56.223,23161390,42.96,43.65,42.69,43.39,703626
2008-01-08 00:00:00-05:00,13.357,13.483,13.053,13.063,298762564,,,,,,53.93,54.84,53.4,53.66,4362701.0,62.2,62.63,60.68,60.92,2190158.0,78.97,80.32,77.0,77.16,15871083,56.687,57.407,55.097,55.233,21148514,43.58,43.64,42.62,42.72,579057
2008-01-09 00:00:00-05:00,13.273,49.777,13.07,49.75,271845001,,,,,,53.95,54.2,52.2,54.06,6371690.0,62.04,62.92,61.23,62.8,3556792.0,78.03,80.5,77.42,80.46,17658707,57.243,58.907,56.51,58.79,26346835,43.23,44.06,42.69,43.83,921444
2008-01-10 00:00:00-05:00,48.923,50.65,48.74,50.317,82109129,,,,,,53.53,55.67,53.33,55.28,4805559.0,61.28,63.58,61.0,62.8,4748156.0,79.81,82.28,79.18,81.52,21345650,57.713,60.017,57.373,59.25,25401238,43.85,44.32,43.39,44.13,682629
2008-01-11 00:00:00-05:00,49.3,49.883,48.663,48.913,76367577,,,,,,54.3,55.71,54.29,54.81,3423925.0,60.47,61.24,60.0,60.32,2916123.0,80.3,80.82,78.59,79.24,14434913,57.663,58.093,56.667,56.75,14733178,43.74,43.77,43.12,43.19,539161
2008-01-14 00:00:00-05:00,49.68,49.917,49.233,49.637,49157533,,,,,,55.48,55.54,54.22,54.69,2919387.0,60.38,61.05,60.25,60.82,2625676.0,80.48,80.58,79.2,79.8,8805032,56.85,57.173,56.287,56.91,11228092,43.79,44.25,43.67,44.19,925348
2008-01-15 00:00:00-05:00,48.7,48.89,12.823,12.853,175575966,,,,,,53.46,54.15,52.7,52.72,4031321.0,59.77,59.77,57.64,58.26,4628943.0,78.4,78.63,75.66,76.15,17937020,53.97,54.493,52.333,52.5,27515476,43.87,43.87,42.61,42.86,697132
2008-01-16 00:00:00-05:00,46.817,46.92,44.727,45.497,127662208,,,,,,52.15,52.7,48.35,51.64,7299168.0,57.61,58.18,55.78,56.93,6051121.0,75.12,75.75,71.65,72.43,24246702,51.22,51.83,49.0,50.543,36017487,41.57,41.57,39.44,40.1,1442664
2008-01-17 00:00:00-05:00,46.18,46.493,43.93,44.12,126299362,,,,,,52.47,52.52,49.27,50.07,6663849.0,57.81,58.4,55.91,56.66,4735657.0,74.35,74.48,68.95,70.1,27858980,51.803,52.52,49.46,49.777,34748492,39.99,40.25,37.75,37.9,1390586
2008-01-18 00:00:00-05:00,45.487,45.753,11.943,12.23,384309485,,,,,,50.24,51.46,49.27,50.5,6331241.0,58.5,58.66,57.0,58.05,3099211.0,71.74,72.08,68.63,70.79,21696712,52.33,52.643,50.527,52.273,30988135,39.19,39.65,37.88,39.0,666596
