,IWF,IWF,IWF,IWF,IWF,IWM,IWM,IWM,IWM,IWM,QQQ,QQQ,QQQ,QQQ,QQQ,SPY,SPY,SPY,SPY,SPY
,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume
time,,,,,,,,,,,,,,,,,,,,
2008-01-02 00:00:00-05:00,60.95,61.08,59.81,60.12,4881050.0,76.15,76.5,74.59,75.08,89163396.0,51.27,51.47,50.13,50.41,149569531,146.53,146.99,143.88,144.55,175801806
2008-01-03 00:00:00-05:00,60.13,60.44,59.85,60.08,3134382.0,75.17,75.62,74.03,74.07,72696175.0,50.39,50.76,50.15,50.43,104746815,144.92,145.49,144.12,144.46,111357758
2008-01-04 00:00:00-05:00,59.58,59.58,58.31,58.39,3488363.0,73.23,73.33,71.61,71.87,105483531.0,49.79,49.83,48.25,48.28,193237479,143.34,143.44,140.92,140.93,195945264
2008-01-07 00:00:00-05:00,58.61,58.74,57.79,58.39,5370530.0,72.21,72.85,71.07,72.1,124193191.0,48.41,48.68,47.43,48.17,220176338,141.81,142.23,140.1,141.46,220398905
2008-01-08 00:00:00-05:00,58.7,59.0,57.04,57.25,5621529.0,72.37,73.27,70.09,70.17,145525498.0,48.29,48.76,46.97,46.98,236721448,142.1,142.9,138.63,138.81,303249870
2008-01-09 00:00:00-05:00,57.56,58.29,56.93,58.27,5387031.0,70.04,70.97,68.62,70.95,125417447.0,47.09,47.96,46.46,47.94,244459758,139.01,140.79,137.7,140.78,283758852
2008-01-10 00:00:00-05:00,57.97,58.93,57.69,58.51,5367189.0,70.12,72.32,69.86,71.71,148262968.0,47.41,48.41,47.29,48.01,237095761,139.7,142.8,139.37,141.8,299975352
2008-01-11 00:00:00-05:00,58.19,58.28,57.4,57.71,3511809.0,71.28,71.5,69.91,70.2,110649084.0,47.72,47.77,46.7,47.05,201430700,140.75,141.9,139.0,140.01,246414893
2008-01-14 00:00:00-05:00,58.3,58.44,57.92,58.4,3836781.0,71.0,71.19,70.26,70.97,68890432.0,47.69,48.01,47.31,47.92,149245841,141.16,141.92,140.4,141.46,188179200
2008-01-15 00:00:00-05:00,57.62,57.83,56.85,56.96,3684328.0,69.88,70.16,69.07,69.49,89383534.0,47.38,47.52,46.35,46.58,209225406,139.74,140.1,137.9,137.95,212672979
2008-01-16 00:00:00-05:00,56.43,57.17,55.88,56.35,3851374.0,69.23,70.71,68.72,69.59,133230789.0,46.19,46.91,45.46,46.02,249545949,137.37,139.12,136.28,137.15,335114567
2008-01-17 00:00:00-05:00,56.53,56.76,54.9,55.03,5075065.0,69.93,70.1,67.68,67.84,117490520.0,46.26,46.58,45.2,45.37,233804055,137.58,137.88,132.93,133.23,356269008
2008-01-18 00:00:00-05:00,55.47,55.87,54.4,54.87,5187543.0,68.15,68.81,63.3,67.17,121172397.0,45.64,46.14,44.76,45.36,242011655,134.2,135.02,113.65,132.49,324023266
2008-01-22 00:00:00-05:00,52.2,54.54,44.59,53.95,8692471.0,64.44,68.13,64.19,66.95,136950358.0,42.83,44.77,42.73,44.21,279909119,126.45,132.25,126.0,131.02,373268286
2008-01-23 00:00:00-05:00,52.48,54.72,51.95,54.72,5005012.0,65.35,69.14,65.09,69.09,168750111.0,42.55,44.15,41.61,43.99,356407500,127.12,133.88,126.84,133.81,447099791
2008-01-24 00:00:00-05:00,54.72,55.6,54.72,55.55,4266687.0,69.4,70.23,68.15,69.03,108615320.0,44.2,44.93,44.06,44.92,215825053,134.28,135.46,133.31,135.0,236148263
2008-01-25 00:00:00-05:00,56.05,56.35,54.59,54.77,5032069.0,70.04,70.22,68.08,68.54,90723158.0,45.85,45.87,43.94,43.99,191314719,136.5,136.76,130.0,132.98,252279332
2008-01-28 00:00:00-05:00,54.75,55.5,54.37,55.5,4083030.0,68.48,69.97,67.71,69.93,71010740.0,44.03,44.44,43.57,44.37,153938829,133.29,135.33,132.06,135.32,194132213
2008-01-29 00:00:00-05:00,55.86,55.87,55.12,55.55,3671850.0,70.32,70.37,69.12,70.3,71917708.0,40.26,40.36,39.79,40.15,146030969,136.1,136.45,134.88,136.07,149092531
2008-01-30 00:00:00-05:00,55.29,56.39,54.97,55.25,4186714.0,69.73,71.4,69.1,69.28,120582944.0,39.94,40.91,39.89,40.11,228169247,135.58,138.54,135.05,135.36,306120078
2008-01-31 00:00:00-05:00,54.45,56.48,54.38,56.12,4622054.0,68.16,71.56,68.0,70.97,104393785.0,39.66,41.21,39.61,40.8,241039870,133.42,138.54,133.2,137.33,277905078
2008-02-01 00:00:00-05:00,56.17,56.95,56.0,56.82,3735085.0,71.32,72.88,71.0,72.61,88594796.0,45.52,45.88,44.88,45.6,140939428,137.92,139.61,137.52,139.45,174298858
2008-02-04 00:00:00-05:00,56.94,56.94,56.36,56.42,5337629.0,72.54,72.6,71.68,71.97,46887119.0,45.58,45.61,44.94,44.97,90650584,139.19,139.3,137.88,138.0,110715014
2008-02-05 00:00:00-05:00,55.5,55.81,54.84,54.86,4475127.0,70.6,71.57,69.8,69.91,109836220.0,44.11,44.6,43.64,43.67,172004625,135.86,136.25,133.68,133.7,238469618
2008-02-06 00:00:00-05:00,55.21,55.63,54.18,54.29,1780317.0,70.42,70.88,68.84,68.89,88303446.0,43.93,44.17,42.77,42.85,152755414,134.58,135.25,132.41,132.72,228762155
2008-02-07 00:00:00-05:00,53.9,55.14,53.79,54.63,3762196.0,68.65,70.52,68.47,70.03,114130023.0,42.35,43.79,42.15,43.11,271858911,132.08,134.79,131.73,133.78,267483999
2008-02-08 00:00:00-05:00,54.52,55.1,54.28,54.76,2557874.0,69.93,70.64,69.0,69.55,80911096.0,43.18,43.77,42.94,43.6,163337675,133.27,134.22,132.1,133.12,184989742
2008-02-11 00:00:00-05:00,54.79,55.45,54.51,55.33,3617370.0,69.66,70.2,68.73,69.62,74270226.0,43.79,44.22,43.54,44.06,111170731,133.12,134.23,132.04,133.91,170136567
2008-02-12 00:00:00-05:00,55.67,56.16,55.18,55.49,3869329.0,70.1,71.05,69.72,70.19,74032127.0,44.32,44.58,43.51,43.81,135029255,134.91,136.31,133.98,134.94,225956137
2008-02-13 00:00:00-05:00,55.99,56.5,55.73,56.37,3628008.0,71.03,71.95,70.7,71.85,74938077.0,44.39,44.88,44.16,44.8,128588229,136.06,137.1,135.14,136.71,162285726
2008-02-14 00:00:00-05:00,56.57,56.57,55.53,55.63,4984532.0,72.08,72.18,70.0,70.28,76344748.0,44.84,44.85,43.89,43.9799,162056899,136.94,137.0,134.79,135.01,208961859
2008-02-15 00:00:00-05:00,55.31,55.56,55.1,55.56,1520212.0,69.79,70.09,68.0,70.08,59492365.0,43.78,43.98,43.45,43.82,87184802,134.55,140.0,133.36,135.06,132949917
2008-02-19 00:00:00-05:00,56.19,56.27,55.36,55.49,2518497.0,70.87,71.01,69.62,70.02,46783247.0,44.39,44.49,43.27,43.45,96221327,136.67,136.89,134.61,135.04,130812587
2008-02-20 00:00:00-05:00,55.32,56.18,55.15,55.97,4210757.0,69.54,70.91,69.17,70.75,68144569.0,43.25,44.09,43.24,43.97,128832514,134.0,137.6,133.76,136.11,205782963
2008-02-21 00:00:00-05:00,56.25,56.42,55.25,55.4,3815520.0,71.27,71.75,69.24,69.37,81087868.0,44.36,44.47,43.34,43.49,117117639,136.66,137.01,134.07,134.48,184265085
