,XLB,XLB,XLB,XLB,XLB,XLC,XLC,XLC,XLC,XLC,XLE,XLE,XLE,XLE,XLE,XLF,XLF,XLF,XLF,XLF,XLFE,XLFE,XLFE,XLFE,XLFE,XLI,XLI,XLI,XLI,XLI,XLK,XLK,XLK,XLK,XLK,XLP,XLP,XLP,XLP,XLP,XLU,XLU,XLU,XLU,XLU,XLV,XLV,XLV,XLV,XLV,XLY,XLY,XLY,XLY,XLY
,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-01-02 05:00:00+00:00,41.7,41.95,40.98,41.33,9483635,,,,,,79.95,80.3,79.27,79.75,18291924,29.01,29.17,28.33,28.41,62049600,,,,,,39.05,39.21,38.22,38.37,6039730,26.65,26.72,25.97,26.1,5169407,28.53,28.72,28.26,28.34,7046724,42.15,42.74,41.9,41.98,4982855,35.63,35.63,34.86,34.94,3915069,32.99,32.99,32.11,32.13,3711800.0
2008-01-03 05:00:00+00:00,41.52,42.17,41.45,41.8,8699808,,,,,,79.94,80.75,79.85,80.21,14113740,28.49,28.63,28.16,28.2,44817652,,,,,,38.56,38.81,38.49,38.58,5280992,26.21,26.29,25.94,26.08,1988773,28.38,28.66,28.2,28.22,4363993,42.12,42.58,41.97,42.08,4970636,34.98,35.3,34.56,35.18,2504282,32.11,32.22,31.68,31.78,9585427.0
2008-01-04 05:00:00+00:00,41.42,41.57,40.7,40.74,13370213,,,,,,79.5,79.74,77.88,78.01,24552334,27.88,27.94,27.33,27.39,74841918,,,,,,38.3,38.31,37.57,37.6,12498959,25.82,25.82,25.0,25.07,3383023,28.38,28.4,28.01,28.04,4095874,42.03,42.62,41.86,42.3,6954968,35.01,35.16,34.5,34.83,3214308,31.43,31.58,30.75,30.78,5960834.0
2008-01-07 05:00:00+00:00,40.81,41.06,39.67,40.25,16971407,,,,,,78.0,78.61,76.23,77.04,29186338,27.52,27.83,27.07,27.55,86508542,,,,,,37.73,37.9,37.04,37.34,8266278,25.11,25.27,24.65,24.97,5557536,28.27,28.55,28.1,28.55,3824637,42.6,43.32,42.4,43.25,8095138,34.82,35.58,34.82,35.57,5451740,31.14,31.18,30.68,30.93,6104205.0
2008-01-08 05:00:00+00:00,40.4,41.07,39.55,39.6,21112177,,,,,,77.88,78.19,75.85,76.08,20801316,27.65,27.82,26.47,26.54,118900189,,,,,,37.45,37.54,36.36,36.39,9852147,25.03,25.25,24.2,24.21,5168632,28.63,28.86,28.35,28.38,5504930,43.28,44.11,43.28,43.33,8507112,35.66,36.39,35.57,35.81,6210752,31.03,31.31,30.31,30.32,4287009.0
2008-01-09 05:00:00+00:00,39.47,40.08,38.75,39.97,25652359,,,,,,75.85,77.34,75.63,77.14,24043154,26.42,27.03,25.91,26.96,133069943,,,,,,36.35,36.8,35.91,36.7,11761280,24.12,24.64,24.05,24.63,5198733,28.49,28.63,28.29,28.63,4754081,43.58,43.84,43.19,43.83,8026159,36.02,36.43,35.89,36.41,7817025,30.22,30.63,29.67,30.56,6687310.0
2008-01-10 05:00:00+00:00,39.61,40.81,39.18,40.52,14266008,,,,,,76.35,79.95,74.32,76.75,22985911,26.68,28.02,26.43,27.65,218977594,,,,,,36.44,37.44,36.31,37.14,14376310,24.36,24.92,24.17,24.76,6516567,28.59,28.91,28.51,28.83,4985040,43.45,43.99,43.22,43.58,8465772,36.33,36.56,36.14,36.45,5606359,30.39,31.28,30.29,31.01,6119777.0
2008-01-11 05:00:00+00:00,39.94,40.51,39.79,40.08,10862400,,,,,,76.1,77.03,75.36,75.61,26629323,27.27,28.11,27.0,27.61,182020214,,,,,,36.87,37.12,36.24,36.37,9071635,24.61,24.62,24.08,24.23,3279088,28.67,29.28,28.16,28.24,4679417,43.06,43.71,43.06,43.37,5320638,36.28,36.61,36.18,36.5,3478561,30.59,30.68,30.11,30.24,3960827.0
